,Representation,Count
130,"['professor', 'university', 'ba', 'faculty', 'award', 'president', 'ma', 'writer', 'director', 'prize']",19
131,"['racing', 'drivers', 'formula', 'brabham', 'grassi', 'car', 'race', 'championship', 'di', 'cars']",19
132,"['caltech', 'research', 'amfar', 'science', 'aids', 'institute', 'exp', 'yrs', 'students', 'krim']",19
133,"['afrikaans', 'bantu', 'tikar', 'languages', 'language', 'dutch', 'bambara', 'million', 'speakers', 'kpelle']",19
134,"['ayer', 'schaefer', 'oxford', 'agassiz', 'university', 'professor', 'research', 'he', 'london', 'college']",18
135,"['ibn', 'aden', 'sultan', 'salih', 'bin', 'wahidi', 'protectorate', 'sultanate', 'yemen', 'ali']",18
136,"['dip', 'chicano', 'mexican', 'mexico', 'chicanos', 'firearms', 'jos', 'chvez', 'de', 'chicana']",18
137,"['gois', 'municipalities', 'population', 'ha', '2007', 'goinia', 'municipality', 'cattle', 'ranking', 'rate']",18
138,"['apollo', 'lunar', 'mission', 'crew', 'moon', 'spacecraft', 'astronauts', 'nasa', 'module', 'lm']",18
139,"['hockey', 'nhl', 'marsh', 'players', 'season', 'games', 'points', 'cannons', 'ice', 'draft']",18
140,"['bbc', 'abc', 'news', 'radio', 'channel', 'television', 'broadcast', 'broadcasting', 'show', 'channels']",18
141,"['english', 'breton', 'british', 'britain', 'celtic', 'bre', 'ame', 'brittonic', 'languages', 'language']",18
142,"['code', 'character', 'encoding', 'signal', 'atm', 'codes', 'characters', 'data', 'used', 'sync']",18
143,"['pasternak', 'uys', 'chekhov', 'praxis', 'chekhovs', 'pasternaks', 'serbian', 'ivinskaya', 'zhivago', 'belgrade']",17
144,"['camus', 'gide', 'annales', 'french', 'celebrities', 'his', 'he', 'celebrity', 'jarry', 'le']",16
145,"['methodist', 'church', 'prof', 'president', 'professor', 'baptist', 'ohio', 'representative', 'university', 'bishop']",16
146,"['constituency', 'constituencies', 'labour', 'borough', 'london', 'abingdon', 'election', 'elections', 'parliament', 'assembly']",16
147,"['coins', 'bank', 'currency', 'franc', 'coin', 'currencies', 'mint', 'banks', 'barber', 'cfa']",16
148,"['rice', 'yeast', 'pecel', 'red', 'salad', 'sauce', 'dish', 'steamed', 'cuisine', 'dishes']",16
149,"['sadf', 'fapla', 'operation', 'unita', 'brigade', 'battalion', 'south', 'angola', 'artillery', 'cuito']",16
150,"['alberta', 'oil', 'alaska', 'canada', 'columbia', 'canadas', 'canadian', 'province', 'albertas', 'gas']",15
151,"['assyrian', 'nanaya', 'akkadian', 'neoassyrian', 'empire', 'assyria', 'period', 'bc', 'assur', 'ancient']",15
152,"['greece', 'greek', 'ministry', 'mps', 'party', 'minister', 'democracy', 'meimarakis', 'shipping', 'ministers']",15
153,"['ashes', 'cricket', 'cricketers', 'australia', 'test', 'england', 'series', 'urn', 'firstclass', 'surridge']",15
154,"['bobsleigh', 'olympics', 'winter', 'luge', 'medal', 'events', 'spirits', 'olympic', 'dixon', 'medals']",15
155,"['pan', 'games', 'sports', 'american', 'paso', 'host', 'winnipeg', 'athletes', 'stadium', 'ceremony']",15
156,"['cell', 'cells', 'blood', 'apoptosis', 'antibodies', 'antibody', 'membrane', 'proteins', 'antigen', 'antigens']",15
157,"['under19', 'overs', 'cricket', 'cup', 'january', 'colombo', 'team', 'balls', 'february', 'icc']",15
158,"['difranco', 'song', 'music', 'kudai', 'hips', 'songs', 'album', 'shakira', 'singles', 'lie']",15
159,"['hockey', 'field', 'medalists', 'summer', 'olympics', 'spain', 'olympic', 'players', '1992', 'gold']",15
160,"['bbs', 'bbses', 'software', 'apache', 'internet', 'fidonet', 'server', 'msn', 'users', 'web']",15
161,"['beano', 'series', 'voiced', 'timmy', 'animated', 'television', 'cartoon', 'fairy', 'boomer', 'comic']",15
162,"['crowley', 'alfred', 'ambrosius', 'alfreds', 'ealdred', 'canterbury', 'anglosaxon', 'king', 'his', 'archbishop']",14
163,"['tismneanu', 'romanian', 'tismneanus', 'kerensky', 'communist', 'vladimir', 'communism', 'romania', 'political', 'he']",14
164,"['costas', 'playbyplay', 'game', 'night', 'analyst', 'games', 'espn', 'baseball', 'sports', 'broadcast']",14
165,"['area', 'codes', 'code', '404', '770', 'atlanta', 'mexico', 'numbering', '706', '678']",14
166,"['episode', 'cheers', 'michael', 'dwight', 'pam', 'office', 'series', 'episodes', 'jim', 'season']",14
167,"['blessman', 'navy', 'triangle', 'carpender', 'naval', 'destroyer', 'bermuda', 'admiral', 'fleet', 'ships']",14
168,"['ark', 'absalom', 'aaron', 'moses', 'abner', 'david', 'his', 'biblical', 'benjamin', 'son']",13
169,"['she', 'doubles', 'kournikova', 'tennis', 'round', 'open', 'wta', 'her', 'lost', 'gajdoov']",13
170,"['arabic', 'aramaic', 'languages', 'berber', 'language', 'spoken', 'dialects', 'speakers', 'varieties', 'dialect']",12
171,"['alignleft', 'roussimoff', 'wrestling', 'sayers', 'fight', 'championship', 'pts', 'heavyweight', 'win', 'aligncenter']",12
172,"['bowl', 'nfl', 'super', 'ravens', 'afl', 'falcons', 'bills', 'yards', 'game', 'teams']",12
173,"['confederate', 'union', 'gettysburg', 'war', 'johnston', 'battle', 'army', 'civil', 'confederates', 'confederacy']",11
174,"['music', 'blues', 'country', 'cappella', 'anthem', 'ballads', 'folk', 'counterpoint', 'songs', 'artists']",11
175,"['puerto', 'rican', 'telemaco', 'she', 'actresses', 'rico', 'sandoval', 'telenovela', 'miss', 'her']",11
176,"['film', 'films', 'bollywood', 'bachchan', 'hindi', 'indian', 'devdas', 'cinema', 'india', 'nayanthara']",11
177,"['herald', 'ami', 'newspaper', 'boston', 'newspapers', 'media', 'weekly', 'paper', 'daily', 'guardian']",10
178,"['atoms', 'atomic', 'atom', 'electrons', 'electron', 'orbitals', 'quantum', 'nucleus', 'energy', 'orbital']",10
179,"['seff', 'red', 'axelle', 'albums', 'vervoort', 'je', 'moi', 'soul', 'ttons', 'charts']",10
180,"['films', 'film', 'her', 'she', 'fontaine', 'ronald', 'stratten', 'cindy', 'snider', 'nico']",10
