,Representation,Count
154,"['fundraising', 'donations', 'fundraisers', 'fund', 'donors', 'cash', 'biden', 'lavishly', 'trump', 'million']",20
155,"['italy', 'italys', 'coronavirus', 'italian', 'roma', 'rome', 'sardinia', 'venices', 'europe', 'milan']",20
156,"['robyn', 'weintraub', 'weintraubs', 'puzzles', 'olivia', 'puzzle', 'patti', 'nancy', 'caitlin', 'rachel']",20
157,"['ginsburg', 'ginsburgs', 'ruth', 'dorothy', 'feminism', 'feminist', 'woman', 'justice', 'successor', 'honor']",20
158,"['homes', 'residential', 'homeowners', 'buyers', 'mortgages', 'mortgage', 'neighborhoods', 'home', 'buyer', 'sales']",20
159,"['electors', 'electoral', 'elections', 'voters', 'election', 'ballots', 'votes', 'presidential', 'vote', 'unanimous']",19
160,"['homes', 'residential', 'condo', 'sale', 'manhattan', 'home', 'sales', 'york', 'mansion', 'borough']",19
161,"['ventilators', 'ventilator', 'lungs', 'ventec', 'breathing', 'lung', 'shortage', 'coronavirus', 'hospitals', 'coronavirusrelated']",19
162,"['mayor', 'blasio', 'mayoral', 'mayors', 'candidates', 'leaders', 'elected', 'yorkers', 'leadership', 'blasios']",19
163,"['lewis', 'lewiss', 'civil', 'rights', 'congressman', 'bravery', 'inauguration', 'jon', 'cooper', 'christopher']",19
164,"['afghan', 'afghanistan', 'kabul', 'civilians', 'thousands', 'gunmen', 'casualty', 'homicides', 'civilian', '2020']",19
165,"['airbnbs', 'airbnb', 'homesharings', 'homesharing', 'hotels', 'rentals', 'lodging', 'hotel', 'rental', 'housekeeping']",19
166,"['landlords', 'apartment', 'landlord', 'buildings', 'tenant', 'restrict', 'leases', 'renters', 'rent', 'facades']",19
167,"['mcconnell', 'mcconnells', 'senate', 'senators', 'mitch', 'republican', 'republicans', 'voter', 'president', 'dems']",19
168,"['homes', 'westchester', 'connecticut', 'houses', 'york', 'ny', 'fairfield', 'connecticuts', 'bronxville', 'house']",19
169,"['golfer', 'golfers', 'golf', 'tournaments', 'masters', 'golfs', 'pga', 'tournament', 'augustas', 'augusta']",18
170,"['prisons', 'inmates', 'prisoners', 'inmate', 'prison', 'incarcerated', 'jails', 'imprisonment', 'incarceration', 'correctional']",18
171,"['buttigieg', 'buttigiegs', 'biden', 'candidate', 'klobuchar', 'klobuchars', 'bernie', 'sanders', 'presidential', 'sanderss']",18
172,"['bounties', 'afghanistan', 'taliban', 'afghan', 'russians', 'cia', 'talibanlinked', 'spies', 'qaeda', 'russias']",18
173,"['qanon', 'conspiracy', 'conspiracist', 'followers', 'qualcomm', 'republicans', 'rallies', 'campaigns', 'satanists', 'evangelicals']",18
174,"['protests', 'protest', 'protesters', 'demonstrators', 'rallies', 'protester', 'rebellion', 'defiance', 'enforcing', 'rallied']",18
175,"['arts', 'suggestions', 'weekend', 'cultural', 'culture', 'writers', 'places', 'saturday', 'place', 'listen']",18
176,"['meghans', 'meghan', 'harry', 'harrys', 'royalty', 'prince', 'royal', 'royals', 'monarchy', 'duchess']",18
177,"['saul', 'jimmy', 'episode', 'jimmys', 'mike', 'jesse', 'gus', 'bobby', 'finale', 'kim']",18
178,"['fraud', 'voter', 'falsely', 'election', 'misinformation', 'falsehoods', 'irregularities', 'voting', 'debunking', 'disenfranchising']",18
179,"['pastor', 'preacher', 'evangelical', 'evangelicals', 'churches', 'church', 'evangelicalism', 'megachurch', 'congregation', 'lentz']",18
180,"['opioids', 'opioid', 'fentanyl', 'druginduced', 'pharmacies', 'prescription', 'pharma', 'drug', 'medications', 'overdoses']",18
181,"['2020', 'gratitude', 'life', 'healthy', 'gift', 'bleak', 'year', 'decade', 'things', 'self']",18
182,"['zooms', 'zoom', 'videoconferences', 'privacy', 'webcam', 'videoconferencing', 'hackers', 'video', 'secrecy', 'homebound']",17
183,"['twitter', 'tweets', 'tweet', 'twitters', 'trump', 'realdonaldtrump', 'dorsey', 'dorseys', 'stephanopoulos', 'unfollow']",17
184,"['judicial', 'judges', 'judiciary', 'judge', 'courts', 'court', 'appeals', 'appointees', 'rulings', 'constitutional']",17
