,Representation
143,"['lewis', 'john', 'civil', 'rights', 'congressman', 'icon', 'redeem', 'lowery', 'man', 'leader']"
144,"['boris', 'johnson', 'prime', 'minister', 'british', 'england', 'britain', 'uk', 'johnsons', 'lockdown']"
145,"['breonna', 'taylor', 'taylors', 'louisville', 'raid', 'officers', 'officer', 'jury', 'killing', 'police']"
146,"['bike', 'bikes', 'cycling', 'bicycles', 'accidents', 'bicycle', 'biking', 'gyms', 'ebike', 'thefts']"
147,"['sexual', 'abuse', 'child', 'sexabuse', 'metoo', 'pornhub', 'scouts', 'feminism', 'imagery', 'assault']"
148,"['week', 'reading', 'contest', 'winner', 'summer', 'submit', 'congratulations', 'participate', 'eastern', 'winners']"
149,"['black', 'racial', 'rates', 'infection', 'alarming', 'hispanic', 'reunions', 'covid19', 'latino', 'minorities']"
150,"['deaths', 'toll', 'higher', 'than', 'number', 'analysis', 'reported', 'died', 'us', 'coronavirus']"
151,"['rents', 'renters', 'broker', 'brokers', 'fees', 'rent', 'fee', 'apartment', 'manhattan', 'ban']"
152,"['hydroxychloroquine', 'drug', 'malaria', 'drugs', 'promoted', 'antimalarial', 'doctors', 'prescribing', 'chloroquine', 'trump']"
153,"['election', 'results', 'elections', 'day', 'guide', 'conversations', 'reactions', 'broadcast', 'process', 'daily']"
154,"['mitch', 'mcconnell', 'senate', 'majority', 'republican', 'donors', 'kentucky', 'bad', 'republicans', 'antidemocratic']"
155,"['shopping', 'furniture', 'chairs', 'shelving', 'youre', 'lounge', 'need', 'because', 'clutter', 'outdoor']"
156,"['pence', 'mike', 'vice', 'harris', 'kamala', 'debate', 'vicepresidential', 'fly', 'pences', 'president']"
157,"['donors', 'biden', 'fundraising', 'million', 'financial', 'cash', 'quarter', 'raises', 'campaigns', 'huge']"
158,"['noise', 'distancing', 'neighbor', 'neighbors', 'social', 'your', 'quieted', 'owe', 'make', 'dementia']"
159,"['parasite', 'oscars', 'oscar', 'academy', 'awards', 'nominations', 'film', 'best', 'korean', 'hollywood']"
160,"['dies', 'artist', '88', 'whose', '79', 'at', 'maos', 'fou', 'maccioni', 'mucho']"
161,"['football', 'college', 'ten', 'athletes', 'conferences', 'pac12', 'coaches', 'play', 'fighters', 'sports']"
162,"['weekend', 'writers', 'cultural', 'things', 'suggestions', 'noteworthy', 'listen', 'watch', 'arts', 'selected']"
163,"['fauci', 'anthony', 'dr', 'infectious', 'expert', 'colbert', 'dye', 'aides', 'says', 'undermine']"
164,"['golf', 'masters', 'woods', 'pga', 'golfs', 'golfers', 'tiger', 'courses', 'augusta', 'tour']"
165,"['parents', 'homecoming', 'black', 'nice', 'serial', 'white', 'education', 'teach', 'im', 'blackness']"
166,"['afghan', 'progovernment', 'afghanistan', 'casualty', 'civilians', 'killed', 'forces', 'least', 'report', 'gunmen']"
167,"['bader', 'ruth', 'ginsburg', 'ginsburgs', 'justice', 'supreme', 'icon', 'feminist', 'cheater', 'appointed']"
168,"['ventilators', 'ventilator', 'shortage', 'lifesaving', 'doctors', 'critical', 'ventec', 'thousands', 'gm', 'production']"
169,"['marijuana', 'vaping', 'cannabis', 'smoking', 'flavored', 'ecigarettes', 'tobacco', 'smokers', 'juul', 'vapers']"
170,"['latin', 'mosque', 'virus', 'countries', 'border', 'greece', 'coronavirus', 'indigenous', 'odds', 'door']"
171,"['hospital', 'beds', 'hospitals', 'patients', 'care', '1000bed', 'triage', 'overcrowded', 'icus', 'tent']"
172,"['rituals', 'grief', 'mourn', 'grieving', 'death', 'loss', 'punctuated', 'expressions', 'losses', 'technical']"
173,"['qanon', 'conspiracy', 'theory', 'theories', 'believers', 'movement', 'facebook', 'followers', 'headed', 'groups']"
174,"['conn', 'connecticut', 'properties', 'sale', 'ny', 'fivebedroom', 'fairfield', 'homes', 'weeks', 'include']"
175,"['warren', 'elizabeth', 'warrens', 'ms', 'her', 'hillary', 'factions', 'field', 'candidate', 'senator']"
176,"['court', 'supreme', 'courts', 'appeals', 'judges', 'imprint', 'judicial', 'appointees', 'vacancy', 'constitution']"
177,"['protests', 'sturgis', 'protesters', 'crowds', 'rally', 'gather', 'motorcycle', 'defy', 'orders', 'protest']"
178,"['border', 'children', 'separated', 'families', 'migrant', 'policy', 'orphanage', 'expelled', 'reunite', 'deportation']"
179,"['carell', 'comedy', 'netflix', 'series', 'steve', 'daniels', 'farce', 'scifi', 'whisperer', 'plays']"
180,"['residential', 'sold', 'sales', 'region', 'recent', 'homes', 'around', 'million', '15', 'city']"
181,"['zoom', 'videoconferencing', 'zooms', 'dropbox', 'meetings', 'privacy', 'feature', 'video', 'meeting', 'garment']"
182,"['island', 'islands', 'beach', 'ferries', 'caribbean', 'access', 'ferry', 'virgin', 'domain', 'coast']"
183,"['church', 'pastor', 'evangelical', 'lentz', 'megachurch', 'evangelicals', 'hillsong', 'god', 'religious', 'nigerian']"
184,"['chinas', 'chinese', 'consumers', 'china', 'economy', 'worlds', 'beijing', 'exports', 'spending', 'needs']"
185,"['electoral', 'electors', 'college', 'vote', 'undemocratic', 'faithless', 'pick', 'override', 'legislatures', 'presidential']"
186,"['cost', 'pandemic', 'lifted', 'economic', 'billion', 'economy', 'workers', 'businesses', 'threatens', 'bangladeshwe']"
187,"['events', 'appointment', 'tune', 'viewing', 'livestreaming', 'today', 'online', 'find', 'look', 'back']"
188,"['stress', 'you', 'cope', 'do', 'worked', 'anxiety', 'skin', 'improve', 'habits', 'healthy']"
189,"['bounties', 'afghanistan', 'troops', 'russia', 'russian', 'kill', 'intelligence', 'militants', 'assessment', 'cia']"
190,"['indoors', 'airborne', 'air', 'droplets', 'floating', 'aerosols', 'particles', 'infectious', 'transmission', 'study']"
191,"['uber', 'gig', 'lyft', 'ridehailing', 'drivers', 'companies', 'california', 'taxis', 'apps', 'ride']"
192,"['curfew', 'protests', 'looting', 'nyc', 'pm', 'updates', 'barclays', 'demonstrations', 'latest', 'arrested']"
